"Dimension"	"CPLEX Time"	"CPLEX Sol."	"GA Sol."	"GA Time"	
10	651	325.17	60	325.33
100	-1	-1	55148	540.23
15	3510	270.98	926	271.1
20	2296	313.38	1637	315.65
25	136022	306.11	2552	306.11
30	65270	303.77	3637	303.92
35	300023	307.07	4925	307.27
40	300026	283.14	6528	281.37
45	132485	346.34	8429	346.77
5	43	102.29	2	102.56
